;Unnamed: 0;Unnamed: 0.1;cod_orgao_sup;nm_orgao_sup;cod_orgao;nm_orgao;cod_unidade;nm_unidade;modalidade_compra;id_item_compra;dia;ano;mes;cod_classe_material;nm_classe_material;grupo_material;grupo_servico;cod_material_serv;desc_material_serv;padrao_desc_material;cnpj_fornecedor;nm_fornecedor;unidade_fornecimento;valor_unitario;qtde_ofertada;ind_pandemia
607;985;8232;16000;JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS;16000;JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS;925125;TRIBUNAL DE JUSTIÇA DO ESTADO DO MARANHÃO;Pregão;9251250500027201900009;30 Jul 2019;2019;Jul 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;395734; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,95225E+13;VIP DISTRIBUICAO E LOGISTICA EIRELI;FRASCO 500,00 ML;2,9;10200;0
701;1158;175292;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120644;GRUPAMENTO DE APOIO DE CURITIBA;Pregão;1206440500038201900052;25 Out 2019;2019;Out 2019;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,14125E+13;COMERCIAL MAB ALIMENTOS EIRELI;FRASCO 500,00 ML;2,9;1188;0
581;949;124890;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120634;GRUPAMENTO DE APOIO DE BARBACENA;Pregão;1206340500002201900053;16 Mai 2019;2019;Mai 2019;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,56313E+13;LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;2,92;3000;0
732;1201;298687;99900;REPUBLICA FEDERATIVA DO BRASIL;94120;ESTADO DO MARANHAO;980921;PREFEITURA MUNICIPAL DE SÃO LUÍS/MA;Pregão;9809210500094201900003;18 Set 2019;2019;Set 2019;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,51824E+13;MIRIAM PRODUTOS DE LIMPEZA E PLASTICOS LTDA;FRASCO 500,00 ML;2,98;22500;0
501;813;254943;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160445;HOSPITAL DA GUARNICAO DE FLORIANOPOLIS;Pregão;1604450500013201800064;12 Set 2018;2018;Set 2018;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,42214E+13;LUIZ MINIOLI NETTO;FRASCO 500,00 ML;2,99;2250;0
417;673;386356;99900;REPUBLICA FEDERATIVA DO BRASIL;94120;ESTADO DO MARANHAO;980921;PREFEITURA MUNICIPAL DE SÃO LUÍS/MA;Pregão;9809210500069201800004;26 Jun 2018;2018;Jun 2018;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,04986E+12;C.H.N. PACHECO COMERCIO E REPRESENTACOES;FRASCO 500,00 ML;3;30000;0
665;1088;108245;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120643;GRUPAMENTO DE SANTA MARIA;Pregão;1206430500035201900003;12 Nov 2019;2019;Nov 2019;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;4,41532E+12;GENIAL PRODUTOS PARA LIMPEZA LTDA;FRASCO 500,00 ML;3;1500;0
356;574;41073;26000;MINISTERIO DA EDUCACAO;26234;UNIVERSIDADE FEDERAL DO ESPIRITO SANTO;153048;RESTAURANTE CENTRAL DA UFES;Pregão;1530480500007201800002;07 Jun 2018;2018;Jun 2018;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,56313E+13;LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;3;4500;0
507;823;271760;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;740100;CENTRO DE PROJETO DE NAVIOS;Pregão;7401000500006201800004;04 Set 2018;2018;Set 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;347138; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,95429E+13;LIMP MED COMERCIO DE MATERIAIS MEDICOS ORTOPEDICOS LTDA;FRASCO 500,00 ML;3,04;650;0
681;1117;25472;26000;MINISTERIO DA EDUCACAO;26000;MINISTERIO DA EDUCACAO;154811;INST.FED.DO SUL DE MINAS/CÂMPUS POUSO ALEGRE;Pregão;1548110500014201900002;01 Out 2019;2019;Out 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;244282; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:LAVANDA;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,44592E+13;RVN DISTRIBUIDORA DE PRODUTOS EIRELI;FRASCO 500,00 ML;3,05;200;0
449;724;250920;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160229;15 GRUPO DE ARTILHARIA DE CAMP.AUTOPROPULSADO;Pregão;1602290500016201800061;27 Dez 2018;2018;Dez 2018;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;4,09411E+12;COMERCIAL BORA EIRELI;FRASCO 500,00 ML;3,05;200;0
688;1130;51792;26000;MINISTERIO DA EDUCACAO;26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;158220;HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS;Pregão;1582200500008201900002;08 Out 2019;2019;Out 2019;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,14509E+13;ALTA SERRANA COMERCIAL EIRELI;FRASCO 500,00 ML;3,07;37758;0
543;879;105026;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120023;BASE AEREA DE SALVADOR;Pregão;1200230500014201800058;08 Mar 2019;2019;Mar 2019;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,43471E+13;BRASCOM DO NORDESTE INDUSTRIA E COMERCIO LTDA;FRASCO 500,00 ML;3,08;500;0
326;516;26307;26000;MINISTERIO DA EDUCACAO;26241;UNIVERSIDADE FEDERAL DO PARANA;153079;UNIVERSIDADE FEDERAL DO PARANA;Pregão;1530790500049201800001;18 Abr 2018;2018;Abr 2018;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,14509E+13;ALTA SERRANA COMERCIAL EIRELI;FRASCO 500,00 ML;3,1;15570;0
404;653;352382;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160547;22º BATALHãO DE INFANTARIA;Pregão;1605470500003201800036;13 Jun 2018;2018;Jun 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,99453E+13;WILLIAM  ALBERT  ALVES  FARAH;FRASCO 500,00 ML;3,1;1000;0
455;734;319039;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;785600;ESCOLA DE APRENDIZES-MARINHEIROS DE SC;Pregão;7856000500020201800056;09 Nov 2018;2018;Nov 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;347138; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;8,51017E+13;RARIDADE INDUSTRIA QUIMICA LTDA;FRASCO 500,00 ML;3,1;600;0
542;878;104979;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120023;BASE AEREA DE SALVADOR;Pregão;1200230500014201800003;08 Mar 2019;2019;Mar 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;244273; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,43471E+13;BRASCOM DO NORDESTE INDUSTRIA E COMERCIO LTDA;FRASCO 500,00 ML;3,1;1500;0
452;728;296967;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160440;23 BATALHAO DE INFANTARIA - SC;Pregão;1604400500028201700002;22 Nov 2018;2018;Nov 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,68582E+13;A.V. COMERCIO ATACADISTA EIRELI;FRASCO 500,00 ML;3,12;550;0
676;1104;161716;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;781600;ESCOLA DE APRENDIZES-MARINHEIROS DO ES;Pregão;7816000500021201900002;25 Nov 2019;2019;Nov 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,19236E+13;J.B COMERCIO E SERVICOS EIRELI;FRASCO 500,00 ML;3,15;500;0
638;1044;295151;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160472;5 BATALHAO DE INFANTARIA LEVE - 5 B I L;Pregão;1604720500013201800005;25 Jun 2019;2019;Jun 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,67854E+13;DALIUMA COMERCIO DE PECAS AUTOMOTIVAS  LTDA;FRASCO 500,00 ML;3,15;300;0
706;1163;187527;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160046;COLEGIO MILITAR DE FORTALEZA/MEX - CE;Pregão;1600460500007201900251;15 Out 2019;2019;Out 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;347138; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,78144E+13;SOLU DISTRIBUIDORA LTDA;FRASCO 500,00 ML;3,15;4690;0
83;142;169459;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;751212;BASE DE HIDROGRAFIA DA MARINHA EM NITEROI;Pregão;7512120500017201900034;13 Jan 2020;2020;Jan 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,96172E+13;M3 SERVICOS SINALIZACOES E COMERCIO EIRELI;FRASCO 500,00 ML;3,15;3000;0
454;733;313480;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;762200;CENTRO DE INSTRUCAO ALMIRANTE WANDENKOLK;Pregão;7622000500017201800005;05 Dez 2018;2018;Dez 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;420799; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:LIMPEZA, CONCENTRACAO:75% INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,69385E+13;M M DISTRIBUIDORA DE ALIMENTOS E PRESTACOES DE SERVICOS LTDA;FRASCO 500,00 ML;3,19;13900;0
444;718;228063;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160129;ESCOLA DE SARGENTOS DAS ARMAS;Pregão;1601290500069201800003;27 Dez 2018;2018;Dez 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,44592E+13;RVN DISTRIBUIDORA DE PRODUTOS EIRELI;FRASCO 500,00 ML;3,19;2500;0
605;982;6147;14000;JUSTICA ELEITORAL;14000;JUSTICA ELEITORAL;70025;TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL;Pregão;0700250500007201900016;02 Jul 2019;2019;Jul 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;347138; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;5,62109E+12;ADN COMERCIO E DISTRIBUICAO DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;3,19;900;0
544;880;105440;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120039;MAER-GRUPAMENTO DE APOIO/RJ;Pregão;1200390500001201900005;18 Mar 2019;2019;Mar 2019;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,95429E+13;LIMP MED COMERCIO DE MATERIAIS MEDICOS ORTOPEDICOS LTDA;FRASCO 500,00 ML;3,19;1368;0
380;624;249365;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160098;BASE ADMINISTRATIVA DA BDA DE OP.ESPECIAISS;Pregão;1600980500009201800232;08 Jun 2018;2018;Jun 2018;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,56313E+13;LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;3,2;3000;0
311;492;148435;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160148;BASE DE ADMINISTRAÇÃO E APOIO DO CMP;Pregão;1601480500002201700002;23 Jan 2018;2018;Jan 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;395734; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,44916E+13;PRIME IMPORTACAO E EXPORTACAO EIRELI;FRASCO 500,00 ML;3,2;12500;0
446;720;232002;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160147;47 BATALHAO E INFANTARIA - MEX/MS;Pregão;1601470500007201800153;22 Nov 2018;2018;Nov 2018;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,56313E+13;LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;3,2;1500;0
