;Unnamed: 0;Unnamed: 0.1;cod_orgao_sup;nm_orgao_sup;cod_orgao;nm_orgao;cod_unidade;nm_unidade;modalidade_compra;id_item_compra;dia;ano;mes;cod_classe_material;nm_classe_material;grupo_material;grupo_servico;cod_material_serv;desc_material_serv;padrao_desc_material;cnpj_fornecedor;nm_fornecedor;unidade_fornecimento;valor_unitario;qtde_ofertada;ind_pandemia
81;137;164852;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160518;BASE DE AVIACAO DE TAUBATE;Pregão;1605180500004202000176;26 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,56313E+13;LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;3,9;3000;1
270;414;165710;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160429;13 COMPANHIA DE COMUNICACOES/RS;Pregão;1604290500003201900003;09 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;420799; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:LIMPEZA, CONCENTRACAO:75% INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,26051E+13;COMERCIAL DE ALIMENTOS ZAFIRA - EIRELI;FRASCO 500,00 ML;3,94;2200;1
136;218;41958;26000;MINISTERIO DA EDUCACAO;26441;UNIVERSIDADE FEDERAL DO OESTE DO PARA;158515;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;Pregão;1585150500002202000081;20 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,13033E+13;MARIA ELIANE PEREIRA;FRASCO 500,00 ML;4;1000;1
76;123;149453;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160391;CENTRO DE PREPARACAO OFICIAIS RESERVA/PA/RS;Pregão;1603910500003201900196;10 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;9,27689E+12;ALPHA HIGIENE E LIMPEZA EIRELI;FRASCO 500,00 ML;4,1;2612;1
42;72;68284;34000;MINISTERIO PUBLICO DA UNIAO;34000;MINISTERIO PUBLICO DA UNIAO;200032;PROCURADORIA REG.DO TRABALHO 5A. REGIAO - BA;Pregão;2000320500014201900003;06 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;395734; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;7,57193E+12;EQUILIBRIO COMERCIO DE DESCARTAVEIS EIRELI;FRASCO 500,00 ML;4,13;1600;1
98;163;1953;14000;JUSTICA ELEITORAL;14000;JUSTICA ELEITORAL;70005;TRIBUNAL REGIONAL ELEITORAL DO MARANHAO;Pregão;0700050500007202000001;08 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,11615E+13;GOLDEM COMERCIO EIRELI;FRASCO 500,00 ML;4,16;1845;1
194;301;85717;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120627;GRUPAMENTO DE APOIO DE ALCÂNTARA;Pregão;1206270500006202000003;03 Jun 2020;2020;Jun 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;386905; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:65% INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,14487E+12;A C S CATANHO;FRASCO 500,00 ML;4,2;3000;1
93;156;209380;99900;REPUBLICA FEDERATIVA DO BRASIL;95420;ESTADO DE SAO PAULO;986411;PREFEITURA MUNICIPAL DE FERNANDOPOLIS;Dispensa de Licitação;9864110600001202000018;23 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;2,36808E+13;R. T. DISTRIBUDORA EIRELI;FRASCO 500,00 ML;4,3;250;1
14;29;19330;26000;MINISTERIO DA EDUCACAO;26241;UNIVERSIDADE FEDERAL DO PARANA;153079;UNIVERSIDADE FEDERAL DO PARANA;Pregão;1530790500004202000001;17 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,64851E+12;PKB PRODUTOS QUIMICOS LTDA;FRASCO 500,00 ML;4,34;1500;1
87;149;191711;99900;REPUBLICA FEDERATIVA DO BRASIL;93720;ESTADO DE TOCANTINS;925963;AGÊNCIA DE DEFESA AGROPECUÁRIA DO EST. DO TO;Pregão;9259630500005202000003;17 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;441477; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:ACENDEDOR, CONCENTRACAO:80deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,45334E+13;GESY SARAIVA DE GOIAS;FRASCO 500,00 ML;4,4;500;1
292;464;237931;99900;REPUBLICA FEDERATIVA DO BRASIL;97320;ESTADO DE GOIAS;989571;PREF.MUN.DE RIO VERDE;Pregão;9895710500004202000004;07 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;7,43544E+12;CRISTAL COMERCIO E REPRESENTACOES LTDA;FRASCO 500,00 ML;4,41;414;1
99;164;2595;14000;JUSTICA ELEITORAL;14000;JUSTICA ELEITORAL;70010;TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO;Pregão;0700100500001202000015;24 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,99837E+13;POLO EMPRESARIAL LTDA.;FRASCO 500,00 ML;4,45;240;1
195;302;85787;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120627;GRUPAMENTO DE APOIO DE ALCÂNTARA;Pregão;1206270500006202000077;03 Jun 2020;2020;Jun 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,66537E+12;V3TEX COMERCIO DE PRODUTOS TEXTEIS LTDA;FRASCO 500,00 ML;4,5;9000;1
49;87;93606;52000;MINISTERIO DEFESA;52111;COMANDO DA AERONAUTICA;120632;GRUPAMENTO DE APOIO DE RECIFE;Pregão;1206320500081201900043;10 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,79018E+13;BELBI COMERCIO IMPORTACAO E EXPORTACAO COMERCIAL EIRELI;FRASCO 500,00 ML;4,5;2968;1
252;389;145588;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160311;ESCOLA DE APERFEICOAMENTO DE OFICIAIS/RJ;Dispensa de Licitação;1603110600065202000002;28 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,45121E+13;GG MATERIAIS DE ESCRITORIO LTDA;FRASCO 500,00 ML;4,5;500;1
75;122;149389;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160391;CENTRO DE PREPARACAO OFICIAIS RESERVA/PA/RS;Pregão;1603910500003201900089;10 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;9,27689E+12;ALPHA HIGIENE E LIMPEZA EIRELI;FRASCO 500,00 ML;4,5;6539;1
215;328;105573;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160041;40 BATALHAO DE INFANTARIA/MEX - CE;Pregão;1600410500009202000003;04 Jun 2020;2020;Jun 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;311410; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65deg INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,02881E+13;PREFERENCIAL - COMERCIO ATACADISTA DE MATERIAIS DE ESCRITORIO LTDA;FRASCO 500,00 ML;4,54;2500;1
4;5;9995;25000;MINISTERIO DA ECONOMIA;25000;MINISTERIO DA ECONOMIA;170018;SUP.REGIONAL RECEITA FEDERAL 1A.RF/DF;Dispensa de Licitação;1700180600001202000004;16 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;2,68893E+13;S.M GUIMARAES EIRELI;FRASCO 500,00 ML;4,62;930;1
191;287;77355;39000;MINISTERIO DOS TRANSPORTES;39252;DEPTO. NAC. DE INFRA-ESTRUTURA DE TRANSPORTES;393010;DEPART.NACIONAL DE INFRA-ESTR. DE TRANSPORTE;Dispensa de Licitação;3930100600053202000002;19 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,56778E+13;MULTI SOLUCOES INTEGRADAS LTDA;FRASCO 500,00 ML;4,6312;200;1
97;162;911;12000;JUSTICA FEDERAL;12000;JUSTICA FEDERAL;90016;JUSTICA FEDERAL DE 1A. INSTANCIA - RJ;Pregão;0900160500014202000008;04 Jun 2020;2020;Jun 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,12857E+13;IMPACTA INDUSTRIA E COMERCIO DE COSMETICOS EIRELI;FRASCO 500,00 ML;4,7;3000;1
222;339;114451;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160100;COM.DA 3A BDA DE INFANTARIA MOTORIZADA_MEX/GO;Pregão;1601000500004202000002;30 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;386905; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:65% INPM;ALCOOL ETILICO LIMPEZA DE AMBIENTES;7,43544E+12;CRISTAL COMERCIO E REPRESENTACOES LTDA;FRASCO 500,00 ML;4,71;800;1
125;199;21546;26000;MINISTERIO DA EDUCACAO;26252;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;150154;CENTRO DE EDUCAçAO E SAUDE DA UFCG;Pregão;1501540500001202000004;04 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;4,00474E+12;NORLUX LTDA;FRASCO 500,00 ML;4,8;3230;1
243;372;139215;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160234;5 REGIMENTO DE CARROS DE COMBATE;Pregão;1602340500006202000004;26 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,31664E+13;HIGICLEANER COMERCIAL LTDA.;FRASCO 500,00 ML;4,8;2050;1
240;369;133004;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160198;7.DEPOSITO DE SUPRIMENTO;Pregão;1601980500003202000084;09 Abr 2020;2020;Abr 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,66674E+13;V. T. A. MACHADO DE ARRUDA EIRELI;FRASCO 500,00 ML;4,82;1000;1
184;280;76373;38614;CONSELHO REG DE ENFERMAGEM DE SÃO PAULO;38614;CONSELHO REG DE ENFERMAGEM DE SÃO PAULO;389343;CONSELHO REGIONAL DE ENFERMAGEM DE SAO PAULO;Pregão;3893430500005202000001;28 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;380018; ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL;ALCOOL ETILICO;2,83981E+13;PARILIMP COMERCIO DE PRODUTOS E SERVICOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;4,95;5500;1
273;422;172715;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160472;5 BATALHAO DE INFANTARIA LEVE - 5 B I L;Pregão;1604720500001202000005;04 Jun 2020;2020;Jun 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,30219E+13;CASA DA SOGRA COMERCIO VAREJISTA LTDA;FRASCO 500,00 ML;4,99;600;1
180;272;69947;36000;MINISTERIO DA SAUDE;36000;MINISTERIO DA SAUDE;257053;DISTRITO SANIT.ESP.INDÍGENA - INTERIOR SUL;Pregão;2570530500005202000002;18 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,64851E+12;PKB PRODUTOS QUIMICOS LTDA;FRASCO 500,00 ML;5;2600;1
235;362;130593;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160177;71 BATALHAO DE INFANTARIA MOTORIZADO;Pregão;1601770500005201900004;30 Abr 2020;2020;Abr 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;1,66674E+13;V. T. A. MACHADO DE ARRUDA EIRELI;FRASCO 500,00 ML;5,12;2000;1
114;183;10757;25000;MINISTERIO DA ECONOMIA;25000;MINISTERIO DA ECONOMIA;170116;SUP.REGIONAL RECEITA FEDERAL 7A.RF/RJ;Dispensa de Licitação;1701160600027202000001;19 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,4702E+13;JMZ SOLUCOES E ASSESSORIA EM ENGENHARIA EIRELI;FRASCO 500,00 ML;5,163;3680;1
236;364;131723;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160183;72 BATALHAO DE INFANTARIA MOTORIZADO;Dispensa de Licitação;1601830600031202000002;26 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,73078E+13;LJL COSMETICA PROFISSIONAL LTDA;FRASCO 500,00 ML;5,21;200;1
