"";"cod_orgao_sup";"nm_orgao_sup";"cod_orgao";"nm_orgao";"cod_unidade";"nm_unidade";"modalidade_compra";"id_item_compra";"dia";"ano";"mes";"cod_classe_material";"nm_classe_material";"grupo_material";"grupo_servico";"cod_material_serv";"desc_material_serv";"padrao_desc_material";"cnpj_fornecedor";"nm_fornecedor";"unidade_fornecimento";"valor_unitario";"qtde_ofertada";"ind_pandemia"
"11";16000;"JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS";16000;"JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS";925125;"TRIBUNAL DE JUSTIÇA DO ESTADO DO MARANHÃO";"Pregão";9,2512505000272e+21;"30 Jul 2019";2019;"Jul 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";395734;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,95225e+13;"VIP DISTRIBUICAO E LOGISTICA EIRELI";"FRASCO 500,00 ML";2,9;10200;0
"12";52000;"MINISTERIO DEFESA";52111;"COMANDO DA AERONAUTICA";120644;"GRUPAMENTO DE APOIO DE CURITIBA";"Pregão";1,2064405000382e+21;"25 Out 2019";2019;"Out 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,14125e+13;"COMERCIAL MAB ALIMENTOS EIRELI";"FRASCO 500,00 ML";2,9;1188;0
"13";52000;"MINISTERIO DEFESA";52111;"COMANDO DA AERONAUTICA";120634;"GRUPAMENTO DE APOIO DE BARBACENA";"Pregão";1,2063405000022e+21;"16 Mai 2019";2019;"Mai 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,56313e+13;"LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";2,92;3000;0
"14";99900;"REPUBLICA FEDERATIVA DO BRASIL";94120;"ESTADO DO MARANHAO";980921;"PREFEITURA MUNICIPAL DE SÃO LUÍS/MA";"Pregão";9,8092105000942e+21;"18 Set 2019";2019;"Set 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";3,51824e+13;"MIRIAM PRODUTOS DE LIMPEZA E PLASTICOS LTDA";"FRASCO 500,00 ML";2,98;22500;0
"15";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160445;"HOSPITAL DA GUARNICAO DE FLORIANOPOLIS";"Pregão";1,6044505000132e+21;"12 Set 2018";2018;"Set 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,42214e+13;"LUIZ MINIOLI NETTO";"FRASCO 500,00 ML";2,99;2250;0
"16";99900;"REPUBLICA FEDERATIVA DO BRASIL";94120;"ESTADO DO MARANHAO";980921;"PREFEITURA MUNICIPAL DE SÃO LUÍS/MA";"Pregão";9,8092105000692e+21;"26 Jun 2018";2018;"Jun 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";3,04986e+12;"C.H.N. PACHECO COMERCIO E REPRESENTACOES";"FRASCO 500,00 ML";3;30000;0
"17";52000;"MINISTERIO DEFESA";52111;"COMANDO DA AERONAUTICA";120643;"GRUPAMENTO DE SANTA MARIA";"Pregão";1,2064305000352e+21;"12 Nov 2019";2019;"Nov 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";4,41532e+12;"GENIAL PRODUTOS PARA LIMPEZA LTDA";"FRASCO 500,00 ML";3;1500;0
"18";26000;"MINISTERIO DA EDUCACAO";26234;"UNIVERSIDADE FEDERAL DO ESPIRITO SANTO";153048;"RESTAURANTE CENTRAL DA UFES";"Pregão";1,5304805000072e+21;"07 Jun 2018";2018;"Jun 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,56313e+13;"LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";3;4500;0
"19";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";740100;"CENTRO DE PROJETO DE NAVIOS";"Pregão";7,4010005000062e+21;"04 Set 2018";2018;"Set 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,95429e+13;"LIMP MED COMERCIO DE MATERIAIS MEDICOS ORTOPEDICOS LTDA";"FRASCO 500,00 ML";3,04;650;0
"20";26000;"MINISTERIO DA EDUCACAO";26000;"MINISTERIO DA EDUCACAO";154811;"INST.FED.DO SUL DE MINAS/CÂMPUS POUSO ALEGRE";"Pregão";1,5481105000142e+21;"01 Out 2019";2019;"Out 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";244282;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:LAVANDA";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,44592e+13;"RVN DISTRIBUIDORA DE PRODUTOS EIRELI";"FRASCO 500,00 ML";3,05;200;0
"21";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160229;"15 GRUPO DE ARTILHARIA DE CAMP.AUTOPROPULSADO";"Pregão";1,6022905000162e+21;"27 Dez 2018";2018;"Dez 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";4,09411e+12;"COMERCIAL BORA EIRELI";"FRASCO 500,00 ML";3,05;200;0
"22";26000;"MINISTERIO DA EDUCACAO";26245;"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO";158220;"HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS";"Pregão";1,5822005000082e+21;"08 Out 2019";2019;"Out 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,14509e+13;"ALTA SERRANA COMERCIAL EIRELI";"FRASCO 500,00 ML";3,07;37758;0
"23";52000;"MINISTERIO DEFESA";52111;"COMANDO DA AERONAUTICA";120023;"BASE AEREA DE SALVADOR";"Pregão";1,2002305000142e+21;"08 Mar 2019";2019;"Mar 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";3,43471e+13;"BRASCOM DO NORDESTE INDUSTRIA E COMERCIO LTDA";"FRASCO 500,00 ML";3,08;500;0
"24";26000;"MINISTERIO DA EDUCACAO";26241;"UNIVERSIDADE FEDERAL DO PARANA";153079;"UNIVERSIDADE FEDERAL DO PARANA";"Pregão";1,5307905000492e+21;"18 Abr 2018";2018;"Abr 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,14509e+13;"ALTA SERRANA COMERCIAL EIRELI";"FRASCO 500,00 ML";3,1;15570;0
"25";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160547;"22º BATALHãO DE INFANTARIA";"Pregão";1,6054705000032e+21;"13 Jun 2018";2018;"Jun 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,99453e+13;"WILLIAM  ALBERT  ALVES  FARAH";"FRASCO 500,00 ML";3,1;1000;0
"26";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";785600;"ESCOLA DE APRENDIZES-MARINHEIROS DE SC";"Pregão";7,8560005000202e+21;"09 Nov 2018";2018;"Nov 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";8,51017e+13;"RARIDADE INDUSTRIA QUIMICA LTDA";"FRASCO 500,00 ML";3,1;600;0
"27";52000;"MINISTERIO DEFESA";52111;"COMANDO DA AERONAUTICA";120023;"BASE AEREA DE SALVADOR";"Pregão";1,2002305000142e+21;"08 Mar 2019";2019;"Mar 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";244273;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";3,43471e+13;"BRASCOM DO NORDESTE INDUSTRIA E COMERCIO LTDA";"FRASCO 500,00 ML";3,1;1500;0
"28";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160440;"23 BATALHAO DE INFANTARIA - SC";"Pregão";1,6044005000282e+21;"22 Nov 2018";2018;"Nov 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,68582e+13;"A.V. COMERCIO ATACADISTA EIRELI";"FRASCO 500,00 ML";3,12;550;0
"29";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";781600;"ESCOLA DE APRENDIZES-MARINHEIROS DO ES";"Pregão";7,8160005000212e+21;"25 Nov 2019";2019;"Nov 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,19236e+13;"J.B COMERCIO E SERVICOS EIRELI";"FRASCO 500,00 ML";3,15;500;0
"30";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160472;"5 BATALHAO DE INFANTARIA LEVE - 5 B I L";"Pregão";1,6047205000132e+21;"25 Jun 2019";2019;"Jun 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,67854e+13;"DALIUMA COMERCIO DE PECAS AUTOMOTIVAS  LTDA";"FRASCO 500,00 ML";3,15;300;0
"31";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160046;"COLEGIO MILITAR DE FORTALEZA/MEX - CE";"Pregão";1,6004605000072e+21;"15 Out 2019";2019;"Out 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";2,78144e+13;"SOLU DISTRIBUIDORA LTDA";"FRASCO 500,00 ML";3,15;4690;0
"32";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";751212;"BASE DE HIDROGRAFIA DA MARINHA EM NITEROI";"Pregão";7,5121205000172e+21;"13 Jan 2020";2020;"Jan 2020";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,96172e+13;"M3 SERVICOS SINALIZACOES E COMERCIO EIRELI";"FRASCO 500,00 ML";3,15;3000;0
"33";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";762200;"CENTRO DE INSTRUCAO ALMIRANTE WANDENKOLK";"Pregão";7,6220005000172e+21;"05 Dez 2018";2018;"Dez 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";420799;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, APLICACAO:LIMPEZA, CONCENTRACAO:75% INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,69385e+13;"M M DISTRIBUIDORA DE ALIMENTOS E PRESTACOES DE SERVICOS LTDA";"FRASCO 500,00 ML";3,19;13900;0
"34";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160129;"ESCOLA DE SARGENTOS DAS ARMAS";"Pregão";1,6012905000692e+21;"27 Dez 2018";2018;"Dez 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,44592e+13;"RVN DISTRIBUIDORA DE PRODUTOS EIRELI";"FRASCO 500,00 ML";3,19;2500;0
"35";14000;"JUSTICA ELEITORAL";14000;"JUSTICA ELEITORAL";70025;"TRIBUNAL REGIONAL ELEITORAL DO D. FEDERAL";"Pregão";7,00250500007202e+20;"02 Jul 2019";2019;"Jul 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";5,62109e+12;"ADN COMERCIO E DISTRIBUICAO DE PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";3,19;900;0
"36";52000;"MINISTERIO DEFESA";52111;"COMANDO DA AERONAUTICA";120039;"MAER-GRUPAMENTO DE APOIO/RJ";"Pregão";1,2003905000012e+21;"18 Mar 2019";2019;"Mar 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";429225;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,95429e+13;"LIMP MED COMERCIO DE MATERIAIS MEDICOS ORTOPEDICOS LTDA";"FRASCO 500,00 ML";3,19;1368;0
"37";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160098;"BASE ADMINISTRATIVA DA BDA DE OP.ESPECIAISS";"Pregão";1,6009805000092e+21;"08 Jun 2018";2018;"Jun 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,56313e+13;"LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";3,2;3000;0
"38";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160148;"BASE DE ADMINISTRAÇÃO E APOIO DO CMP";"Pregão";1,6014805000022e+21;"23 Jan 2018";2018;"Jan 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";395734;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,44916e+13;"PRIME IMPORTACAO E EXPORTACAO EIRELI";"FRASCO 500,00 ML";3,2;12500;0
